test_type,segment_variable,outcome_measure,question_number,groups_compared,statistic,p,significance,lowest_scoring_group,highest_scoring_group,spread_in_group_means
ordinal (Kruskal-Wallis),Age,Impact of my participation on my professional or personal life,38,5,12.47,0.014173256916047306,*,55-64,45-54,0.4
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,The sustainability of open source projects,62,2,5.98,0.014478937856006518,*,No,Yes,0.13
ordinal (Kruskal-Wallis),Location,"Right now, how do you feel overall about the WordPress open source project?",28,2,5.87,0.01537289098649396,*,US,Non-US,0.26
ordinal (Kruskal-Wallis),Pay status,"Right now, how do you generally feel about AI in WordPress?",68,3,8.32,0.01561500442294571,*,Unpaid,Paid directly,0.37
ordinal (Kruskal-Wallis),Tenure (combined),Contributing to WordPress,34,5,12.22,0.015804763034469486,*,3-6 years,15+ years,0.63
categorical (chi-square),Uses AI at work,Has your sentiment toward the WordPress open source project changed over the past 24 month,29,2,5.8,0.015983623083369824,*,,,
ordinal (Kruskal-Wallis),Income depends on WordPress,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc",34,3,8.23,0.01631863804080597,*,Partially,Yes,0.37
ordinal (Kruskal-Wallis),Event relationship,Working asynchronously,38,5,12.11,0.016531126024989767,*,"Never attended, not interested","Attend, annually or occasionally",0.52
ordinal (Kruskal-Wallis),Income depends on WordPress,"Soft skill development (business development, personal development, etc.)",57,3,8.2,0.016599726240958814,*,No,Partially,0.34
ordinal (Kruskal-Wallis),Tenure (combined),Participation in the WordPress community,38,5,12.04,0.017043835781581907,*,3-6 years,10-15 years,0.45
categorical (chi-square),Income depends on WordPress,Harassment or targeted negative behavior,46,3,15.43,0.017140847680343154,*,,,
ordinal (Kruskal-Wallis),Gender,Cost of ticket,57,4,10.14,0.017381131929019206,*,Male,Non-binary,0.54
ordinal (Kruskal-Wallis),Contributor identity,Enterprise/scale issues,34,5,11.96,0.01767304226119133,*,Strongly disagree,Agree,0.51
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,"Right now, how do you generally feel about AI in web development (vibe coding, agentic dev",69,2,5.62,0.01772386309594517,*,Yes,No,0.33
ordinal (Kruskal-Wallis),Gender,Open source values,34,4,10.08,0.017916125757359378,*,Prefer not to answer,Non-binary,0.7
ordinal (Kruskal-Wallis),Location,Attending in-person WordPress-related events is important to me.,50,2,5.57,0.018317161853925443,*,US,Non-US,0.31
ordinal (Kruskal-Wallis),Community membership,Open source software,62,5,11.86,0.018394004114414338,*,Strongly disagree,Strongly agree,0.47
categorical (chi-square),Contributes to open source elsewhere,Hostility or rudeness,46,2,9.93,0.01915089462593576,*,,,
ordinal (Kruskal-Wallis),Community membership,Working asynchronously,38,5,11.64,0.020280818180032915,*,Strongly disagree,Strongly agree,0.51
categorical (chi-square),Pay status,What size is the company you work for?,6,3,14.95,0.020662634391264586,*,,,
categorical (chi-square),Location,Are you or have you ever been paid for any of your time spent participating in the WordPre,15,2,7.72,0.02109554146345449,*,,,
ordinal (Kruskal-Wallis),Location,Open source values (whatever that means to you)required,62,2,5.29,0.02146117683576761,*,US,Non-US,0.17
ordinal (Kruskal-Wallis),Work role,Cost of ticket,57,6,13.21,0.021524859077023506,*,Owner/Exec,Freelancer only,0.54
ordinal (Kruskal-Wallis),Pay status,AI in WordPress,34,3,7.66,0.02169467127979541,*,Unpaid,Paid directly,0.45
ordinal (Kruskal-Wallis),Experienced hostility personally,Project roadmap,38,2,5.27,0.02171041105652793,*,Did not experience,Experienced,0.24
ordinal (Kruskal-Wallis),Contribution type,Open source values,34,4,9.65,0.021831619245802222,*,Community work only,Community and code work,0.32
ordinal (Kruskal-Wallis),Income depends on WordPress,"Right now, how do you feel overall about the WordPress open source project?",28,3,7.62,0.022160468294694098,*,Partially,Yes,0.38
ordinal (Kruskal-Wallis),Gender,Personal capacity,38,4,9.6,0.02229336767698758,*,Prefer not to answer,Non-binary,0.72
ordinal (Kruskal-Wallis),Participation level,Collaboration with the greater open source ecosystem,34,6,13.12,0.02232381918383207,*,Do not participate / Not applicable,Inactive,0.74
ordinal (Kruskal-Wallis),Participation level,Topics of sessions / panels,57,6,13.1,0.022484644591030282,*,Very active participation,Observational only,0.5
ordinal (Kruskal-Wallis),Income depends on WordPress,Impact of my contributions to the project,38,3,7.51,0.023396658925232055,*,No,Yes,0.3
categorical (chi-square),Event relationship,Problems with project leadership or governance,46,5,23.55,0.02341180232180348,*,,,
ordinal (Kruskal-Wallis),Contribution type,Financial incentives/restraints,38,4,9.49,0.023474117848986512,*,No contribution work,Community work only,0.41
ordinal (Kruskal-Wallis),Uses AI at work,Project governance/policies,38,2,5.13,0.02356381663700299,*,Uses AI,Does not use AI,0.27
categorical (chi-square),Location,Dismissive or condescending responses to contributions or questions,46,2,9.36,0.024838511449529376,*,,,
ordinal (Kruskal-Wallis),Income depends on WordPress,WordPress leadership,34,3,7.39,0.024860891593885062,*,No,Yes,0.23
categorical (chi-square),Uses AI at work,Has your sentiment toward open source software changed over the past 24 months?,60,2,5.03,0.024866076411836604,*,,,
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,Participation in the WordPress community,38,2,5.01,0.025129463704051877,*,Yes,No,0.24
ordinal (Kruskal-Wallis),Pay status,Events with larger attendance,57,3,7.31,0.025897050254192675,*,Unpaid,Paid directly,0.3
ordinal (Kruskal-Wallis),Location,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc",34,2,4.96,0.026000904573008465,*,Non-US,US,0.27
ordinal (Kruskal-Wallis),Tenure (combined),The WordPress community,34,5,11.04,0.026159770806283907,*,1-2 years,15+ years,0.65
ordinal (Kruskal-Wallis),Event relationship,WordPress governance,34,5,11.03,0.026234439158656128,*,"Never attended, not interested","Never attended, would like to",0.48
ordinal (Kruskal-Wallis),Location,Project leadership,38,2,4.91,0.026628372785994062,*,Non-US,US,0.19
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,"Right now, how do you feel overall about the WordPress open source project?",28,2,4.91,0.02669546595528793,*,Yes,No,0.24
categorical (chi-square),Volunteers outside WordPress and open source,Which best describes your participation in official WordPress open source project events (,51,2,12.65,0.026884702602065293,*,,,
ordinal (Kruskal-Wallis),Participation change,Mentorship or guidance,38,5,10.94,0.027247317248551034,*,Significantly decreased,Significantly increased,0.8
ordinal (Kruskal-Wallis),Pay status,"Right now, how do you generally feel about AI in the tech industry?",67,3,7.15,0.028034164831601968,*,Unpaid,Paid directly,0.42
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,Collaboration with the greater open source ecosystem,34,2,4.82,0.028063062370792896,*,No,Yes,0.17
categorical (chi-square),Pay status,"With regard to AI's current impact on your work or income, which of the following are true",71,3,14.14,0.028133729128276466,*,,,
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,Financial incentives/restraints,38,2,4.8,0.02853826814577066,*,Yes,No,0.24
ordinal (Kruskal-Wallis),Gender,"Soft skill development (business development, personal development, etc.)",57,4,9.05,0.02859532147854068,*,Prefer not to answer,Female,0.65
ordinal (Kruskal-Wallis),Location,The WordPress community,34,2,4.78,0.028733601677907006,*,US,Non-US,0.18
ordinal (Kruskal-Wallis),Community membership,Cost of ticket,57,5,10.81,0.028792344073624302,*,Strongly agree,Strongly disagree,0.52
categorical (chi-square),Participation change,"With regard to AI's future impact on your work or income, which of the following are true ",73,5,22.85,0.028986330393166088,*,,,
ordinal (Kruskal-Wallis),Work role,AI in WordPress,34,6,12.46,0.02905091741333041,*,Other/Non-working,Owner/Exec,0.77
ordinal (Kruskal-Wallis),Contributor identity,"Hard skill development (technical instruction, workshops, etc.)",57,5,10.77,0.029218371197536157,*,Strongly agree,Disagree,0.41
ordinal (Kruskal-Wallis),Work role,Participating in a language other than English,38,6,12.4,0.029678682912781026,*,Employee+Owner,Freelancer only,1.02
ordinal (Kruskal-Wallis),Pay status,Enterprise/scale issues,34,3,7.02,0.029877103090942162,*,Unpaid,Paid indirectly,0.31
ordinal (Kruskal-Wallis),Participation change,WordPress leadership,34,5,10.7,0.030113803494126953,*,Significantly increased,Decreased,0.4
ordinal (Kruskal-Wallis),Experienced hostility personally,Attending in-person WordPress-related events is important to me.,50,2,4.7,0.030163881126939712,*,Did not experience,Experienced,0.3
ordinal (Kruskal-Wallis),Location,WordPress events and meetups,34,2,4.69,0.03037047539139326,*,US,Non-US,0.27
ordinal (Kruskal-Wallis),Contributor identity,Collaboration with the greater open source ecosystem,34,5,10.59,0.03155422172520908,*,Strongly disagree,Strongly agree,0.51
categorical (chi-square),Location,What is your age?,1,2,12.16,0.03261616853159416,*,,,
ordinal (Kruskal-Wallis),Gender,Participating in a language other than English,38,4,8.76,0.03266229625125054,*,Prefer not to answer,Female,0.69
categorical (chi-square),Participation change,"With regard to AI's current impact on your work or income, which of the following are true",71,5,22.46,0.03266270229745568,*,,,
ordinal (Kruskal-Wallis),Gender,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",38,4,8.71,0.033390081685363705,*,Prefer not to answer,Non-binary,0.66
categorical (chi-square),Tenure (combined),Are you or have you ever been paid for any of your time spent participating in the WordPre,15,5,16.69,0.03349565797537001,*,,,
categorical (chi-square),Event relationship,Has your sentiment toward the WordPress open source project changed over the past 24 month,29,5,10.43,0.03381969926463553,*,,,
ordinal (Kruskal-Wallis),Event relationship,Project leadership,38,5,10.41,0.03413039730662442,*,"Attend, multiple times a year",Stopped attending,0.43
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,Open source in AI,62,2,4.47,0.034515801896439435,*,Yes,No,0.37
ordinal (Kruskal-Wallis),Work role,"Right now, how do you generally feel about AI in WordPress?",68,6,12.02,0.03451701808686922,*,Other/Non-working,Owner/Exec,0.88
categorical (chi-square),Location,What size is the company you work for?,6,2,8.61,0.03499158604180375,*,,,
ordinal (Kruskal-Wallis),Uses AI at work,Open source in WordPress,62,2,4.38,0.03634514413849737,*,Uses AI,Does not use AI,0.16
ordinal (Kruskal-Wallis),Experienced hostility personally,Contributing to WordPress,34,2,4.37,0.036553481906534194,*,Did not experience,Experienced,0.18
ordinal (Kruskal-Wallis),Uses AI at work,Events with smaller attendance,57,2,4.36,0.036867402166504366,*,Uses AI,Does not use AI,0.22
ordinal (Kruskal-Wallis),Age,Working asynchronously,38,5,10.21,0.03700627246775694,*,55-64,35-44,0.43
categorical (chi-square),Contribution type,Hostility or rudeness,46,4,17.8,0.03761352888490829,*,,,
ordinal (Kruskal-Wallis),Uses AI at work,Feeling welcome/included,38,2,4.29,0.03839545670171924,*,Does not use AI,Uses AI,0.21
categorical (chi-square),Location,Conflict or ongoing interpersonal tension between community members,46,2,8.4,0.03842283041292499,*,,,
ordinal (Kruskal-Wallis),Participation change,Feeling welcome/included,38,5,10.1,0.038849440978113964,*,No change / About the same,Significantly increased,0.5
ordinal (Kruskal-Wallis),Uses AI at work,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",38,2,4.27,0.03889285130443644,*,Uses AI,Does not use AI,0.19
ordinal (Kruskal-Wallis),Location,Participation in the WordPress community,38,2,4.26,0.03898243362818091,*,US,Non-US,0.26
ordinal (Kruskal-Wallis),Gender,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc",34,4,8.29,0.04031051888700799,*,Prefer not to answer,Female,0.66
ordinal (Kruskal-Wallis),Uses AI at work,Personal capacity,38,2,4.2,0.0403328878148341,*,Does not use AI,Uses AI,0.18
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,Enterprise/scale issues,34,2,4.19,0.0406846192084544,*,Yes,No,0.24
ordinal (Kruskal-Wallis),Work role,"Soft skill development (business development, personal development, etc.)",57,6,11.55,0.04150829309206209,*,Other/Non-working,Employee+Owner,0.86
ordinal (Kruskal-Wallis),Participation level,Mentorship or guidance,38,6,11.54,0.04159901391437732,*,Occasional participation,Moderately active participation,0.45
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,Understanding how to participate,38,2,4.15,0.04166116011352639,*,Yes,No,0.23
ordinal (Kruskal-Wallis),Event relationship,"Advocacy on behalf of web standards (accessibility, privacy, etc.)",38,5,9.92,0.04176219776942925,*,"Attend, multiple times a year",Stopped attending,0.36
categorical (chi-square),Contribution type,Have you attended any other open source or tech-related in-person conferences or events in,55,4,8.21,0.04183086940016604,*,,,
ordinal (Kruskal-Wallis),Community membership,A regional/destination location,57,5,9.92,0.04187261951784936,*,Strongly disagree,Strongly agree,0.69
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,WordPress leadership,34,2,4.11,0.042518607176550226,*,Yes,No,0.27
ordinal (Kruskal-Wallis),Participation change,Financial incentives/restraints,38,5,9.84,0.04326981577433598,*,No change / About the same,Significantly increased,0.81
ordinal (Kruskal-Wallis),Event relationship,"Right now, how do you generally feel about open source software?",59,5,9.79,0.04409449451973617,*,Stopped attending,"Attend, multiple times a year",0.33
ordinal (Kruskal-Wallis),Contributor identity,Financial incentives/restraints,38,5,9.77,0.044410594061918156,*,Strongly disagree,Neutral,0.53
categorical (chi-square),Volunteers outside WordPress and open source,Hostility or rudeness,46,2,8.08,0.04448184782996006,*,,,
ordinal (Kruskal-Wallis),Work role,WordPress leadership,34,6,11.37,0.0445739035447342,*,Other/Non-working,Employee+Freelance,0.75
categorical (chi-square),Contributes to open source elsewhere,Has your level of community participation in the WordPress open source project changed in ,37,2,9.76,0.0447209285322152,*,,,
ordinal (Kruskal-Wallis),Contributes to open source elsewhere,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc",34,2,4.03,0.04478493842226853,*,Yes,No,0.24
ordinal (Kruskal-Wallis),Location,Open source software,62,2,4.0,0.04546362864731813,*,US,Non-US,0.13
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,"Business issues (mergers & acquisitions, product ecosystem, private equity investment, etc",34,2,3.99,0.04578648397558226,*,Yes,No,0.24
ordinal (Kruskal-Wallis),Location,Enterprise/scale issues,34,2,3.98,0.04594526721675748,*,Non-US,US,0.21
ordinal (Kruskal-Wallis),Pay status,Impact of my contributions to the project,38,3,6.16,0.04598178532321245,*,Unpaid,Paid directly,0.25
ordinal (Kruskal-Wallis),Event relationship,A location local to you,57,5,9.67,0.04641133149078891,*,"Attend, multiple times a year","Never attended, would like to",0.61
ordinal (Kruskal-Wallis),Pay status,The WordPress community,34,3,6.14,0.04645749563476554,*,Unpaid,Paid indirectly,0.22
ordinal (Kruskal-Wallis),Work role,Community development/engagement,57,6,11.16,0.04823125570711494,*,Other/Non-working,Employee+Freelance,0.77
categorical (chi-square),Contributes to open source elsewhere,"With regard to AI's current impact on your work or income, which of the following are true",71,2,7.88,0.04858676552418948,*,,,
ordinal (Kruskal-Wallis),Volunteers outside WordPress and open source,Open source software,62,2,3.86,0.049339400053840084,*,No,Yes,0.14
categorical (chi-square),Location,What is your gender?,2,2,7.82,0.04994319319869202,*,,,
